post_id,pid,url,is_sold,is_mint,upload_date,title,product_image,city,is_sold,platform,item_id,location_id,platform_id,marker_price_id
146,918004123,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=918004123&referrerAllArticles=false,0,0,2022-05-19 19:48:59,부산 아이폰13프로 시에라블루 13PRO 256기가 109만 ,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfOTEg/MDAxNjUyOTU3MzU5OTE4.rDT2nBUSsPSYjR4k8qT6D9LWvoLd7FKBVQN0u5c2SEog.E8X3J4HZWu8Sc-u2aBpVYPS2YZhYtqmAMspOy6dmY6Mg.JPEG/KakaoTalk_20220515_211018774_07.jpg?type=f740_740,부산광역시,수영구,Jongo Nara,11,15,14,29
147,918003518,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=918003518&referrerAllArticles=false,0,1,2022-05-19 19:45:31,SS급]아이폰13 블랙 128G 배100 84만원판매해요,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjI3/MDAxNjUyOTU3MTUyNTIw.aE3PfH0FPadk2iCmWTqYKpUBTe6TIgNqZtUbDl0IJhMg.xL_rv8cEBNXnLm8EZnAlAv6vkLqBea09HYWHeQjBMnog.JPEG/KakaoTalk_20220509_230328008.jpg?type=f740_740,서울특별시,관악구,Jongo Nara,11,15,14,29
148,918003043,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918003043&referrerAllArticles=false,0,0,2022-05-19 19:42:42,아이폰13 프로맥스 실버 128기가 팝니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMiAg/MDAxNjUyOTU2OTQzODg5.MbrN-hLTUFzUWfbcAA8OBVRdSPO88MLxKHL_3QK5ScAg.si_BnPq78dmP-KuV9T6rmbrGjU-OUjMcBTVC3_CYykQg.JPEG/KakaoTalk_20220519_194135426.jpg?type=f740_740,인천광역시,계양구,Jongo Nara,11,15,14,29
149,917998848,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917998848&referrerAllArticles=false,0,1,2022-05-19 19:16:22,아이폰 13 프로 알파인 그린 128gb 미개봉품팝니다.,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfOTcg/MDAxNjUyOTU1MzkxNTgy.zG4II1mi_GuB5_AcL2XlU11omdlxdiqTnIOm96jF9QEg.cxpGL-lFMUqoKsTEmLTuMNsiOvN0rkiqgpV4kMoDnIcg.JPEG/20220519%2525EF%2525BC%2525BF180311.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
150,917995964,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917995964&referrerAllArticles=false,0,0,2022-05-19 18:58:13,아이폰13 128기가 핑크 [자급제폰],https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfOTcg/MDAxNjUyOTU0MjA4NjYy.MwKjfQLkhDPHLk6LJ-sKl59T9kzoq_-KXKdTVcQ_gN0g.46JBem2uLPtTjPzGeUzNFEc67cx9epicnKVqsB_M3KMg.JPEG/SE-6a643044-0378-4087-ad1b-9af6768a21c4.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
151,917995828,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917995828&referrerAllArticles=false,0,1,2022-05-19 18:57:19,아이폰13 128기가 미드나이트 미개봉,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjMg/MDAxNjUyOTU0MjQ1NTkz.PWLJ0jSyXW2Do-SJ7vRgNtDd_nxl43hZ4NL9Ha-OZ-kg.X20eQ9Cb2tmN2A3Jqb9pESfx58MApjION9muk0UEnz8g.JPEG/IMG_1290.JPG?type=f740_740,,,Jongo Nara,11,15,14,29
152,917993345,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917993345&referrerAllArticles=false,0,1,2022-05-19 18:41:38,아이폰13프로 256 미개봉,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTc0/MDAxNjUyOTUzMzE2NTgw.EethoH9Um6LamFxA7o0zM5GYfPvUgBkyaTMSIPLqNAMg.6AVzICdG15ZLaPCzisw3ajD8mnW5dvvVFrOPdnMb_ucg.JPEG/Screenshot%2525EF%2525BC%2525BF20220518%2525EF%2525BC%25258D192245.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
153,917992533,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917992533&referrerAllArticles=false,0,1,2022-05-19 18:36:18,아이폰 13 프로 256기가 자급제 미개봉,,,,Jongo Nara,11,15,14,29
154,917992364,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917992364&referrerAllArticles=false,0,0,2022-05-19 18:35:18,아이폰13미니 핑크 256gb 풀박스,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfODkg/MDAxNjUyOTUyOTM1NjA0.WYRQ7xOCTBuRZyfojrvkHyAKxbFfU20iILs3TvvDGsAg.xrrZq1MMtenKJpXvrGL3MAPX9f98nWDDsR34fRhS164g.JPEG/20220519%2525EF%2525BC%2525BF182912.jpg?type=f740_740,경기도,안산시 단원구,Jongo Nara,11,15,14,29
155,917991401,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917991401&referrerAllArticles=false,0,0,2022-05-19 18:29:38,아이폰13미니 핑크 256GB 95만 67151 수원,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjc2/MDAxNjUyOTUyNTk2MTg0.VXyENZK6Bx9j9sWuifgKhRlY13apl1bAwzQXL27pz5Ig.cHyoVPMr6TKEn9DYChZLt22CLNoV0FazqSwSiVAspkAg.JPEG/4.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
156,917990315,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917990315&referrerAllArticles=false,0,1,2022-05-19 18:23:22,미개봉) 아이폰13프로 128기가 시에라블루,,,,Jongo Nara,11,15,14,29
157,917988541,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917988541&referrerAllArticles=false,0,0,2022-05-19 18:12:46,순천) 아이폰13 프로 256 골드 애케플 팜,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjE1/MDAxNjUyOTUxNTgzMDMx.qHwGDyd9TAA6DXdU466c5MOQhmU0-jAbQR2sXNsCJ_Eg.9PzlTVdDNME3c1TKjqzKZM6pZYxba9LFClZeCReImwEg.JPEG/IMG_1219.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
158,917988264,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=917988264&referrerAllArticles=false,0,0,2022-05-19 18:11:17,"아이폰13프로,골드,128G,A급,배터리성능100%,광주광역시",https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfOCAg/MDAxNjUyOTUxNDkzNzc3.kO96DVuy9h76WbY38YmlXA0Nhxe714gnP_FImcz8fe0g.mkYPNZ4wourAMNeaBzxkdjQ6NrLr8dKiVRUgOaf9llYg.JPEG/43.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
159,917987289,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=917987289&referrerAllArticles=false,0,1,2022-05-19 18:06:09,[판매] ﻿아이폰13프로 그래파이트 128GB 외관 S급 공기계 [110만],https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTkw/MDAxNjUyOTUxMTkwMjk4.VCsOq8aDrrIvIumd46Qa5Y5Gzpsw6bqmivrn0ffd1xQg.ztyk1pxr11LjXXoWf2F2mVMYgIjU7_JCAva4nHFr9Eog.JPEG/51.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
160,917982098,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917982098&referrerAllArticles=false,0,1,2022-05-19 17:36:55,"(미개봉, 112만)아이폰 13 프로 그린 128 자급제 팝니다.",https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTYz/MDAxNjUyOTQ5NDIxNjgw.JHVlTRf_o3YyMbabSTH8eiMDHkYJ3JdU0T4_n-DnSyAg.Frno8ajKPS6gCyBUESfiHh0Nt84lcmEUGg-7O0AgCygg.PNG/%2525ED%252599%252594%2525EB%2525A9%2525B4_%2525EC%2525BA%2525A1%2525EC%2525B2%252598_2022-05-19_120617.png?type=f740_740,,,Jongo Nara,11,15,14,29
161,917979257,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917979257&referrerAllArticles=false,0,0,2022-05-19 17:20:58,아이폰13프로 128GB 실버색상 자급제 판매합니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTk3/MDAxNjUyOTQ4NDc0MTI5.MVsezcuKlLucuRsO8OsCEDXXLJq4WEYqke07_lsPZxwg.ztLn0ETEIrqzykTnYW1GFW4Ci9WH3ViBLXBLmjelxGwg.JPEG/20220518%2525EF%2525BC%2525BF114536.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
162,917978630,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=452&boardtype=C&page=1&articleid=917978630&referrerAllArticles=false,0,1,2022-05-19 17:17:41,아이폰 13프로 그라파이트 256g 미개봉,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfNyAg/MDAxNjUyOTQ4Mjc2MjQ0.T3NZ2jRPzYgWnn2XZOaQ4rOz3b4pWR8JNT0yLqs5u9Ag.-UlCz9hSB5EdiFXv2bzu10_X_c07-8hi_newO4qYfC0g.JPEG/IMG_2097.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
163,917978102,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&boardtype=C&page=1&articleid=917978102&referrerAllArticles=false,0,0,2022-05-19 17:14:26,아이폰13 프로 자급재 아이패드 팝니다 (서울),https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjQ4/MDAxNjUyOTQ4MDg0NTYx.11LDPSIiKByr6a0NqzZDq0MxpffHAdiYesBZkQEhfJUg.4_1V1NaFNEZBLqv_jUcLECGUA0x8WEkm-6DvUn8bfQIg.JPEG/IMG%2525EF%2525BC%2525BF20220501%2525EF%2525BC%2525BF12091501.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
164,917977877,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917977877&referrerAllArticles=false,0,0,2022-05-19 17:13:17,군산 아이폰13미니 128G 핑크 자급제 70만원 팝니다.,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTdfMjYw/MDAxNjUyNzg4NzIwMjgx.SWpnhmSax_5in2TqYMjlrmJ4khtD9dJeHfS5PhWArE0g.BZ27V83OmN6EiW5NVCZ9_ZHnXqbqje0DHfq011lbUU8g.JPEG/20220516%2525EF%2525BC%2525BF182909.jpg?type=f740_740,전라북도,군산시,Jongo Nara,11,15,14,29
165,917975570,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917975570&referrerAllArticles=false,0,0,2022-05-19 17:00:19,아이폰13 핑크 256기가 배터리100% ,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjQ3/MDAxNjUyOTQ3MjM5ODI4.odQIZ3Ee1F2ZdurU0Tirsbbzd71q5386D-UtFDk610og.unJbL1AL4efAvbTnd5zhvZ8Og7z9PnEWYA24jFUtXH0g.JPEG/KakaoTalk_20220517_122852251.jpg?type=f740_740,경기도,군포시,Jongo Nara,11,15,14,29
166,917975327,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917975327&referrerAllArticles=false,0,1,2022-05-19 16:58:54,아이폰13프로 128기가 골드 미개봉팝니다 116만원,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTZfMjMw/MDAxNjUyNzA5NTQ3NDMw.xKgoBXG9Up5A4gjj1BwZU5BB1coJYSzCHCFerhDrazkg.N0Gh91OFw5tTejnEC1IqIefwpnYUkLTDPVcSGERvioog.JPEG/IMG_1129.JPG?type=f740_740,,,Jongo Nara,11,15,14,29
167,917973708,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917973708&referrerAllArticles=false,0,0,2022-05-19 16:49:55,아이폰13프로맥스  급처합니다,,,,Jongo Nara,11,15,14,29
168,917971913,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=2148&boardtype=C&page=1&articleid=917971913&referrerAllArticles=false,0,1,2022-05-19 16:39:52,<부산> 아이폰13 블루 (미개봉) - 99만원,,,,Jongo Nara,11,15,14,29
169,917970512,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917970512&referrerAllArticles=false,0,0,2022-05-19 16:32:02,아이폰13미니 급처 128기가,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MThfMjI5/MDAxNjUyODI4NjgwNTI5.MhZXIaQ8btxu5N6wm35f80faLj1prHiD1G3r3H0QQcEg.547QPphB8TMP5DPq97riQEX-rvQbZFOO3EezKrNM3G4g.JPEG/20220511%2525EF%2525BC%2525BF162924.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
170,917969993,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917969993&referrerAllArticles=false,0,0,2022-05-19 16:29:13,아이폰13프로맥스 팝니다,,,,Jongo Nara,11,15,14,29
171,917963593,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917963593&referrerAllArticles=false,0,1,2022-05-19 15:53:54,아이폰 13 미니 128GB 자급제 미개봉 새제품 팝니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjg3/MDAxNjUyOTQzMjUwNzIx.tbpok1F2R-smj-L51-RNjVlHGtjbm2K3Q2c7S2Om19Mg.LG6ooErnEPnBc4RhtipAP0QXTjRABfWpItJ7nc81S_0g.JPEG/20220511_141906.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
172,917963297,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=917963297&referrerAllArticles=false,0,0,2022-05-19 15:52:32,아이폰13프로 256기가 그래파이트 자급제 판매,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MThfMjc1/MDAxNjUyODcxOTQ5MDA4.DzM5pALMh2Lqnv92CNZh7CNGbJDZQYTN_aDsb3gZOv8g.8hAhGQjXIWPMqr-wv7nDsIpExgjHtQnG-r31iwzR_N4g.JPEG/IMG_4860.JPG?type=f740_740,,,Jongo Nara,11,15,14,29
