,articleUrl,articleSeq,articleRegDate,price,title,sortDate,productHiddenStatus,state
31,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=911017956&referrerAllArticles=false,911017956.0,2022-04-15 23:27:47,2000000,"[매입]아이폰13,갤럭시S22전기종 자급제,박스폰,중고폰,파손폰매입",2022-04-15 23:27:47,0,0
32,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911017843&referrerAllArticles=false,911017843.0,2022-04-15 23:26:58,1150000,아이폰13프로 그래파이트 128g 자급제 미개봉 새제품 판매합니다.,2022-04-15 23:26:58,0,0
33,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911017555&referrerAllArticles=false,911017555.0,2022-04-15 23:24:36,3333333,"[매입]아이폰 13 프로 맥스(자급제폰,박스폰,당일개통폰,중고폰)",2022-04-15 23:24:36,0,0
34,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911017361&referrerAllArticles=false,911017361.0,2022-04-15 23:23:10,100000000,[24시]아이폰13 미니 13프로 맥스 (애플/삼성전기종 최고가매입),2022-04-15 23:23:10,0,0
35,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&boardtype=C&page=1&articleid=911017280&referrerAllArticles=false,911017280.0,2022-04-15 23:22:36,30000,아이폰13프로 애플정품 실리콘케이스(그린) 1분착용,2022-04-15 23:22:36,0,0
36,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=911017110&referrerAllArticles=false,911017110.0,2022-04-15 23:21:26,1550000,아이폰13 프로 맥스 갤럭시S22 울트라 전기종 삽니다. 자급제 통신사 유심기변,2022-04-15 23:21:26,0,0
37,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911017043&referrerAllArticles=false,911017043.0,2022-04-15 23:20:56,900000,아이폰 13 128gb 핑크 (풀박스),2022-04-15 23:20:56,0,0
38,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=911016627&referrerAllArticles=false,911016627.0,2022-04-15 23:17:55,2000000,"아이폰13프로맥스@아이폰전기종(자급제,박스폰,중고폰)당일매입OK",2022-04-15 23:17:55,0,0
39,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911016586&referrerAllArticles=false,911016586.0,2022-04-15 23:17:36,2999000,"아이폰13 프로맥스/프로 pro max 최고가매입(자급제,중고폰)",2022-04-15 23:17:36,0,0
40,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911016554&referrerAllArticles=false,911016554.0,2022-04-15 23:17:19,1310000,아이폰13 프로 256기가 미개봉자급제미개통새상품입니다,2022-04-15 23:17:19,0,0
